RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023
102001,0,United States,country,,180000,185000,185000,187000,193000,192250,189000,180000,178000,173500,170000,168000,166000,167000,166000,171000,178765,179000,177000,170000,168000,166500,170000,170000,165000,170000,166000,170000,175000,180000,179000,175000,169000,169000,170000,165000,161500,160000,162000,165500,172000,170000,168000,162500,159900,159000,159000,155000,153000,159950,165000,170100,179900,178000,175000,170000,169000,170400,171990,166000,165000,174000,179000,186500,195000,196900,193000,185900,184900,180000,185000,179000,177958,183000,187500,193500,200000,200000,199200,191000,189500,190000,190000,186000,188000,195000,200000,208000,214725,212000,209000,203000,199900,199500,203608,198000,195000,200000,209900,215000,222500,220000,219000,215000,214000,214900,213539,210000,210000,215000,221000,225000,235000,232500,230000,226500,225000,225000,225000,224000,226500,232000,235000,240000,247000,243500,240000,235000,232500,234000,232500,230000,230000,239900,245000,250000,258000,255000,253000,250000,249900,250000,250000,247000,250000,259500,260000,255000,265000,277900,280000,283000,285000,285000,285000,280000,285000,296000,310000,315000,325000,325000,323000,320000,324900,325000,325000,320000,329900,345000,359999,365000,365000,353000,346000,340000,335000,327500,322500,319000,329900,340000
394913,1,"New York, NY",msa,NY,404586,399000,399451,400000,405000,417000,420000,400000,385000,377000,373600,365000,365000,355250,350000,360000,364000,375000,377500,370000,365000,367500,353000,365850,372430,350000,360000,370000,371000,385000,400000,,,,362500,367250,373500,355000,365000,365000,370000,385000,380000,375000,355000,340000,340000,340000,335000,340000,350000,352000,374750,377000,370000,365000,355000,350000,350000,350000,340000,339000,335000,358000,370500,380000,390000,375000,364000,350000,354700,360000,355000,350000,350000,360000,375000,385000,390000,375000,360000,361995,360000,370000,362000,355000,360000,370000,385000,390000,393432,385000,369000,369000,371000,365825,370000,365000,364000,373500,390000,400000,400000,388000,378458,375000,370000,370000,375000,365000,380000,386000,400000,420000,410000,400000,380000,387500,385000,390000,386000,386500,392000,400000,415000,425000,421000,415000,395000,400000,390000,394500,395000,389000,391000,400000,418000,429000,420000,417000,410000,407500,409000,412000,415000,410000,420000,425000,431500,438800,449990,455000,460000,470000,465000,464000,470000,465000,480000,490000,510000,520000,520000,525000,515000,505000,505000,515000,510000,515000,539000,540000,560000,580000,575000,550000,530000,525000,515000,520000,515000,515000
753899,2,"Los Angeles, CA",msa,CA,505000,497000,500000,490000,483000,470000,450000,436000,435000,406000,410000,386000,402500,395000,390000,406000,419000,412500,405000,415750,400000,400000,395000,390000,380000,395000,390000,405000,395000,400000,395000,400000,380000,389000,383750,370000,370000,385000,381000,383500,390000,390000,375000,380000,360000,360000,355000,345000,350000,365000,378000,379000,385000,390000,389000,386000,387500,390000,405000,390000,400000,431250,460000,460000,475000,470500,468000,467000,460000,459000,469000,450000,469250,480000,485000,500000,499000,506000,508500,499000,495000,491000,490000,490000,500000,510000,523000,520000,530000,528250,526000,518500,512500,520000,525000,520000,525000,539000,550000,562000,565000,556000,560000,552500,555000,555000,548000,550000,550000,572000,580000,595000,600000,605000,600000,600000,590000,604500,595000,590000,615000,620500,625000,640000,649000,640000,640000,625000,625000,629000,609000,600000,615000,629000,640000,640000,648000,662000,642500,645000,640000,640000,650000,648000,650000,670000,655000,650000,675000,708000,720000,730000,730000,725000,725000,720000,745000,770000,800000,815000,825000,820000,825000,822000,822500,828000,841000,830000,859000,895000,925000,920000,900000,875000,868000,850000,845000,830000,810000,815000,825000,840000
394463,3,"Chicago, IL",msa,IL,239000,237250,241000,240000,250000,255000,250000,242500,230000,227000,220000,215000,212500,218000,220000,222000,225000,228500,225500,218000,210000,204250,202450,205000,195000,207500,207338,210000,220000,215000,225268,200000,201500,189950,195000,192250,188750,183000,190000,193000,202000,203000,205000,180000,173242,165000,165000,160000,152500,165000,180000,185000,202250,200000,195000,185000,168000,174000,167500,164750,154800,165000,185000,195000,217000,220000,214000,200000,192000,185000,185000,180000,171300,184000,200000,209550,226700,222000,222000,208000,195000,192000,190000,185000,183000,200000,211000,222000,228000,225000,220000,212000,204000,200000,196875,190000,186000,201950,223000,226250,231500,230000,223900,210000,209000,207000,205000,204950,199900,220000,230000,235000,242000,238000,230000,220400,217000,217000,215000,215000,218000,230000,237000,240000,248950,243500,233000,227000,222000,220000,220000,216000,220000,233000,238000,245000,250000,249000,240000,231500,230000,230000,225900,220000,225000,242000,255500,248000,250000,259900,267000,260000,265000,257500,254898,250000,249000,261000,276100,288500,290000,289000,287500,278542,275000,275000,270000,269000,270000,280000,300000,306000,315000,310000,300000,285000,280000,279000,275000,270000,270000,293375
394514,4,"Dallas, TX",msa,TX,137000,144000,143900,145874,154825,155322,150000,142000,140000,135000,133000,126000,134400,137900,137000,147000,155000,152000,152500,144900,140089,140000,136818,129444,137500,144000,148000,148000,153000,152850,154000,145701,139000,141000,145000,138000,138000,138000,140000,149574,150000,152500,152000,143967,140000,137500,145000,135750,141578,150000,153000,160750,165000,163000,160000,158000,152000,153000,155000,149900,152000,164500,171195,177000,182000,184900,178000,173000,171000,168000,170000,160000,168000,178000,179900,185000,194000,192000,190000,181125,181000,183000,186000,179900,182000,194900,202000,210000,215000,212000,209000,199250,198500,197000,202750,194000,204000,214000,216000,230000,236000,227000,229000,223559,224500,227500,225000,223000,230000,237500,243450,252000,252500,247500,250000,240000,240000,240000,245000,235000,249000,255000,259900,267000,272900,265000,260000,251100,250000,249900,251078,240000,250000,260000,261000,274000,276000,270000,270000,261250,264950,260000,264900,260000,264000,273250,280000,271500,285000,295000,295000,295000,299900,299000,295000,290000,309000,320000,330000,350000,355000,355000,353000,350000,354000,352020,360000,355459,368000,387000,415000,425000,425000,410000,400000,388000,385000,374890,364000,350000,373000,375000
394692,5,"Houston, TX",msa,TX,143000,143000,143000,149500,153000,154000,153500,149900,136000,130000,128000,124950,127300,138200,142505,148944,157500,158995,155800,151000,143900,143000,139950,137900,137000,145500,147900,145903,152000,152000,150000,145000,141500,142900,150000,134000,138500,145000,139800,147700,155000,150000,151000,145050,142500,143000,147000,131750,131100,145000,153750,157000,165000,160000,154000,151500,152000,155000,155000,144500,147000,160000,167500,172000,180000,179900,175000,174500,166625,166000,169900,162500,168500,170000,177500,180000,187815,188500,194900,185000,180000,180000,187500,180000,181000,190000,191500,204000,208000,205000,200500,191760,189000,183000,192750,186000,187000,194500,200000,209993,215000,215500,209670,205000,200000,205000,206500,197000,200000,212500,214700,220000,225000,220000,217000,217556,210500,210000,210000,204600,211000,217000,227000,230000,230000,230000,225000,219900,219000,218000,222000,212160,217650,227000,230000,239900,242050,238000,235000,229900,225000,230000,234565,223000,230000,235000,239900,235000,249900,260000,259900,255000,257450,260000,264000,253000,265000,284000,288125,300000,310000,301000,300000,295000,295000,305000,307500,299900,315000,320000,332000,348000,347000,340000,329000,325000,312251,311000,307000,299900,309500,315000
395209,6,"Washington, DC",msa,VA,350000,350000,353500,365000,364000,375000,360000,330000,310000,309000,299900,310200,290000,296797,300000,312738,320000,335000,325000,303000,295000,290000,290000,277250,275300,285000,310000,311765,315000,340000,316500,319000,317610,320000,319000,294000,309450,310000,320000,345000,340000,350000,338000,324900,299900,307600,301000,290000,290000,318250,330450,355000,360000,364700,345000,330000,323000,330000,329000,320000,315000,340000,355000,375000,385000,381100,370000,350000,349900,345000,349900,335000,335000,345250,360000,390000,385000,390000,375000,350000,356000,350000,365250,340000,350000,368000,375000,390000,385000,380000,365000,360000,355000,352250,352000,342950,351000,350000,376000,390000,385000,385000,375000,360000,360990,351000,365000,354000,350000,360000,385000,399000,399000,400000,385000,369000,370000,365000,380000,360000,364950,385900,400631,410000,410000,407250,399990,382000,376000,380000,390000,372000,380000,399000,400000,419000,419000,415900,408000,392500,392000,405000,403500,375000,400000,425000,435000,430000,430000,453525,450000,440000,443000,437000,440000,416000,412000,445000,469900,495000,488000,488750,480000,460000,465000,460000,465000,432000,450000,490000,525000,539950,529000,520000,500000,479900,485000,479000,460000,444950,475000,491973
394974,7,"Philadelphia, PA",msa,PA,202000,210000,210000,220000,225000,232500,233000,220000,209000,210500,200000,198000,199450,197600,200000,210000,219000,220000,225000,211387,201000,200000,203000,200000,205550,200000,209000,210000,219000,230000,225000,220250,210000,206500,205000,200750,202000,193000,200000,200000,220500,225000,219900,205900,200000,196000,198500,190527,190000,185500,195000,210000,220000,225000,224000,207000,205000,205000,205000,199950,190000,195000,205000,215000,230000,235000,235000,216500,209900,205000,204000,200000,190000,198000,203250,214500,230000,230000,229900,217000,212000,210000,210000,202500,190000,199000,208500,218000,230000,231000,225000,223650,212000,209900,205000,197000,196250,200000,210000,225000,236500,235000,230000,221500,220000,215000,220000,204000,203000,210000,223000,231000,245000,242250,237500,225000,221250,220000,225000,210000,211375,222000,225000,232500,245000,245000,245000,235000,225000,229900,228475,222000,217000,230000,234000,242500,258000,263000,259000,245000,235850,241750,245000,235000,235000,245000,264900,260000,265000,275000,280000,279960,270000,272500,275000,267000,260000,264000,275000,280200,295000,304000,310000,300000,290000,290000,285000,290000,280000,281000,299000,325000,340000,338000,332500,325000,315000,314000,315000,300000,295000,310000
394856,8,"Miami, FL",msa,FL,243425,245000,245000,242000,250000,250000,250000,225000,219900,210000,206000,183500,185000,180000,165000,172000,185000,190000,180000,177500,165000,166000,168750,160000,155000,159250,150000,161950,166500,160000,161000,155000,155000,151800,149900,142500,140000,130000,140000,152800,155000,151000,150000,142500,140000,141000,143000,138000,140000,140000,145900,155000,161200,165000,160000,162000,160000,165000,166000,160000,160000,165000,176000,185000,196000,197000,200000,195000,186000,194750,195000,188000,185000,195000,199000,219950,225000,228000,220000,213000,215000,216000,220000,210000,215000,220000,221125,234400,244000,239900,235000,230000,225000,220000,231000,225000,225000,230000,235000,241000,250000,249000,243000,247000,240000,240000,245000,240000,240000,245200,250000,254000,270000,265000,265000,260000,250000,255000,260500,257500,255000,265000,263500,270000,279000,270000,270000,266250,269900,274500,268000,264000,265000,279000,275000,280000,287000,290000,287500,280000,285000,290000,285000,285000,285000,300000,305000,302000,310000,320000,325000,325000,322500,325000,325000,329900,335000,335000,345000,350000,355000,360000,360000,355000,360000,365000,375000,380000,385000,399000,401000,424600,425000,420500,415000,410000,419250,410000,410000,410000,425000,430000
394347,9,"Atlanta, GA",msa,GA,169000,170700,172000,177000,181380,178800,173000,160000,160000,150000,146200,149000,140000,147000,145500,149900,158500,165000,157800,148750,150000,148900,145000,135000,125000,135000,145000,150000,143500,142000,134000,130900,124900,122000,130000,129000,115000,114900,125000,120000,130000,135000,138000,130000,128000,126000,120000,120000,122000,135000,150000,155000,159900,160000,149000,143250,139000,141150,150000,136625,150000,165000,170000,185000,187500,190000,179045,167500,165000,160000,169900,160000,160750,173920,183000,191000,198000,193000,183000,175000,170000,171500,175000,168000,175000,185000,191000,206000,203250,200000,189900,185000,179900,183149,187600,179600,181473,190000,200000,208000,207000,207500,195000,186000,187000,190000,189000,185500,189000,200000,209000,212000,218704,217000,210000,205000,207900,207024,212500,209900,216000,224900,231900,238200,238500,234900,225000,227000,226000,222000,223600,219900,222400,237000,240000,250000,255000,251250,244155,242000,239950,242000,245000,236775,246650,257000,265000,253000,263000,274900,275000,275000,279000,276000,277000,275000,281000,299500,312000,323000,333000,335000,325000,329000,338000,341800,339000,335000,340100,355000,370100,386745,391750,385000,374900,365000,357000,350000,350000,335000,349000,354000
