DATE,CSUSHPISA_CPIAUCSL
1/1/1987,62.19553
2/1/1987,62.41868
3/1/1987,62.49543
4/1/1987,62.59877
5/1/1987,62.84764
6/1/1987,63.05463
7/1/1987,63.3034
8/1/1987,63.43398
9/1/1987,63.5839
10/1/1987,63.80232
11/1/1987,63.92659
12/1/1987,64.18985
1/1/1988,64.29813
2/1/1988,64.56406
3/1/1988,64.7474
4/1/1988,64.67214
5/1/1988,64.92186
6/1/1988,65.07178
7/1/1988,65.22317
8/1/1988,65.35509
9/1/1988,65.48047
10/1/1988,65.61886
11/1/1988,65.79325
12/1/1988,65.9279
1/1/1989,66.0858
2/1/1989,66.25679
3/1/1989,66.28248
4/1/1989,66.06802
5/1/1989,65.94196
6/1/1989,65.88041
7/1/1989,65.82361
8/1/1989,65.97848
9/1/1989,66.01082
10/1/1989,65.89106
11/1/1989,65.83414
12/1/1989,65.78344
1/1/1990,65.32827
2/1/1990,65.20509
3/1/1990,65.02553
4/1/1990,64.9389
5/1/1990,64.85423
6/1/1990,64.4223
7/1/1990,64.02651
8/1/1990,63.38433
9/1/1990,62.82463
10/1/1990,62.27898
11/1/1990,61.87188
12/1/1990,61.49204
1/1/1991,61.04747
2/1/1991,60.85594
3/1/1991,60.72335
4/1/1991,60.5853
5/1/1991,60.52087
6/1/1991,60.52446
7/1/1991,60.50716
8/1/1991,60.35139
9/1/1991,60.24159
10/1/1991,60.05983
11/1/1991,59.75037
12/1/1991,59.61113
1/1/1992,59.59153
2/1/1992,59.51647
3/1/1992,59.39753
4/1/1992,59.32254
5/1/1992,59.23625
6/1/1992,59.01609
7/1/1992,58.79565
8/1/1992,58.64422
9/1/1992,58.52644
10/1/1992,58.38335
11/1/1992,58.35774
12/1/1992,58.36402
1/1/1993,58.24234
2/1/1993,58.16111
3/1/1993,58.10262
4/1/1993,57.95256
5/1/1993,57.86768
6/1/1993,57.98221
7/1/1993,58.04138
8/1/1993,58.05802
9/1/1993,58.1139
10/1/1993,57.98378
11/1/1993,57.97776
12/1/1993,57.9914
1/1/1994,58.1876
2/1/1994,58.12936
3/1/1994,58.06554
4/1/1994,58.12323
5/1/1994,58.17686
6/1/1994,58.16672
7/1/1994,58.09629
8/1/1994,57.99828
9/1/1994,57.98186
10/1/1994,58.04891
11/1/1994,57.95464
12/1/1994,57.94489
1/1/1995,57.88517
2/1/1995,57.80423
3/1/1995,57.7404
4/1/1995,57.55642
5/1/1995,57.47281
6/1/1995,57.41724
7/1/1995,57.45059
8/1/1995,57.46043
9/1/1995,57.52404
10/1/1995,57.49833
11/1/1995,57.52006
12/1/1995,57.52766
1/1/1996,57.29878
2/1/1996,57.27104
3/1/1996,57.25477
4/1/1996,57.19152
5/1/1996,57.21272
6/1/1996,57.20134
